,C-17,C#-10,C-10,B-9,A#-9,F-10,E-10,D#-10,D-10,G-10,F#-10,C-1,C#-1,D-1,D#-1,G#-0,A-0,A#-0,B-0,E-12,E-1,F-1,C--1,E--1,G#--1,D#-6,C-9,C#-9,D-9,D#-9,E-9,F-9,F#-9,G-9,G#-9,A-9,B-3,A#-3,G-3,F#-3,A-3,G#-3,D#-3,D-3,F-3,E-3,G#-15,D#-15,C#-15,C-15,G-8,F#-8,E-6,G#-8,D#-8,D-8,F-8,E-8,A#-5,B-5,G#-5,A-5,B-8,A#-8,C-6,C#-6,D#--1,G--1,G-19,C-8,C#-8,F#-7,G-7,E-7,F-7,A#-7,B-7,G#-7,A-7,D#-2,D-2,A-1,G#-1,G-1,F#-1,C#-2,C-2,B-1,A#-1,D-6,C-4,C#-4,D-4,D#-4,E-4,F-4,F#-4,G-4,G#-4,A-4,C#-20,D-20,D#-20,C#-14,C#-11,D-14,D#-14,D--1,G-14,E-14,F#--1,D#-7,D-7,C#-18,G-6,F#-6,A-6,G#-6,B-6,A#-6,C#-7,C-7,B--1,A#--1,C#-0,C-0,D#-0,D-0,F-0,E-0,G-0,F#-0,B-10,A-8,F-6,G-11,F#-11,A-11,G#-11,B-11,A#-11,E-18,C-3,C#-3,A#-2,B-2,G#-2,A-2,F#-2,G-2,E-2,F-2,C#--1,F--1,A--1,D-11,D#-11,C-11,A#-15,A#-10,C-16,G#-10,A-10,E-11,F-11,F-5,E-5,D#-5,D-5,C#-5,C-5,B-4,A#-4,G-5,F#-5
D#-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.23876169613e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.32223493404e-06,0.0,3.02122627258e-05,0.0,0.0,1.42660475202e-06,0.005444646098,0.00793650793651,0.0472825172472,0.288487282463,0.0246669067339,0.0391644908616,0.012726488352,0.00115372115697,0.0,0.0,1.89745620786e-07,9.51580537209e-08,3.89324354835e-07,1.52026551944e-07,1.73912771267e-07,1.19638235728e-06,1.21344106068e-06,1.99412749394e-07,2.08782836255e-07,1.65225483453e-06,0.0,0.0,0.0,0.0,0.00184754752965,0.000758150113723,1.115375149e-06,0.000757985923119,0.00182826881856,0.000125703942076,0.00191034131431,8.97961627106e-05,6.97562700423e-07,7.2400420798e-06,2.76007001194e-07,7.92764421508e-07,0.00509554140127,0.00510204081633,1.82891990574e-07,1.81422735232e-06,0.000969180073658,0.0,0.0,2.7877284195e-05,0.0,4.48334995909e-05,0.00120025075302,2.96992736406e-05,9.13553479421e-05,0.000217244375784,0.000258606264356,0.00024807329739,0.000244749021004,1.70676104373e-07,1.23212922847e-07,0.0,5.12235907174e-07,4.57528278965e-07,1.70569825459e-06,6.76966772525e-07,3.05770538291e-07,1.64286632531e-07,3.32272442802e-07,2.4255911331e-06,2.98186325258e-07,1.61487291495e-07,1.69406468063e-07,1.84038502622e-07,4.98286820152e-07,8.94349962002e-08,6.42164878326e-07,2.58041203128e-07,2.16467060586e-07,2.66627353098e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1328114975e-05,0.0,0.0,6.14538254392e-07,2.63691986664e-06,0.0,5.45501656961e-06,1.79921805983e-06,1.77798639485e-06,2.96786229119e-05,6.39931399354e-06,0.00036203026573,0.0,0.0,0.0,0.0,0.0,2.72643001254e-05,0.0,0.0,0.0,0.0,0.00801974090068,5.54774248489e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.25152206427e-07,3.82590231515e-07,8.78660885664e-08,2.51289555175e-07,9.33069610539e-07,5.68566828378e-08,7.11705880708e-07,2.34631710922e-07,2.82991547671e-07,7.93692997961e-08,2.46618247284e-05,0.000340367597005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35251270606e-06,2.1104450455e-06,3.60063875331e-07,1.3868435213e-06,7.33116330899e-07,2.71623753606e-07,8.32224394328e-08,2.47337873459e-06,2.3280012534e-07,1.13257004153e-06
E-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11938084807e-06,2.12327749114e-05,5.18326737626e-06,4.52136389655e-07,0.0,0.0,0.0,0.0,0.0,1.15695556729e-06,4.33638463038e-07,4.74764128549e-05,0.000132275132275,0.0,5.23088409074e-06,0.0139140955838,0.00692333671057,0.0365135453475,0.0890227576975,0.314368023046,0.0707861908906,0.0170405522002,0.00250243743906,0.0,0.0,4.33704276083e-07,2.85474161163e-07,8.68492791555e-07,1.46959000213e-06,9.93787264383e-07,3.80667113679e-07,1.25528385587e-06,5.98238248183e-07,3.13174254383e-07,6.13694652827e-07,0.0,0.0,0.0,0.0,0.00137076107039,0.00227445034117,7.43583432664e-07,0.00454791553871,0.000378262514185,7.54223652454e-05,0.000891492613347,0.0019455835254,1.55013933427e-06,6.73492286493e-07,2.34605951015e-06,9.68934292954e-07,0.00615711252654,0.00207270408163,3.47494782092e-06,1.20948490155e-06,0.000387672029463,0.0,0.0,0.000125447778877,0.000246157212406,0.000224167497954,5.35143647845e-05,0.000233351435748,0.00123634237548,0.000337935695665,0.000349879063541,0.000644990573215,0.00105687077252,5.97366365304e-07,7.39277537084e-07,1.10198494119e-06,2.56117953587e-07,1.14382069741e-06,1.42141521216e-06,5.92345925959e-07,1.06000453274e-06,1.12262532229e-06,3.32272442802e-07,4.41016569654e-07,4.12873373434e-07,1.17078286334e-06,1.24231409913e-06,3.31269304719e-07,1.81376402535e-06,5.66421642601e-07,9.44360115185e-07,1.64208038354e-06,4.32934121172e-07,1.02841979052e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.09942055505e-05,0.0,0.0,0.0,5.64609264725e-05,1.18331292119e-05,0.0,6.14538254392e-07,4.3948664444e-06,6.53523377932e-06,1.09100331392e-05,0.0,1.77798639485e-06,0.0,3.19965699677e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.72643001254e-05,2.28932487809e-05,0.0,0.0,0.0,0.0159833996972,5.54774248489e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.26901636125e-06,9.56475578787e-07,1.01046001851e-06,5.86342295408e-07,2.75255535109e-06,1.13713365676e-06,8.92138357508e-07,5.27921349573e-07,1.54073175954e-06,2.38107899388e-07,3.08272809105e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.36476567558e-07,2.21339358431e-06,6.3011178183e-07,1.42763303664e-06,8.79739597079e-07,8.14871260818e-06,1.37317025064e-06,2.10695225539e-06,1.08640058492e-06,9.06056033223e-07
F-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11938084807e-06,6.06650711753e-06,1.55498021288e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.3055873351e-07,1.95137308367e-06,2.58962251936e-05,0.000132275132275,0.0,4.7553491734e-07,0.00453720508167,0.00776764606552,0.0114420326434,0.039156626506,0.0493338134678,0.321729039745,0.0353753235548,0.000958726031849,0.0,0.0,2.71065172552e-07,1.90316107442e-07,1.49740136475e-07,3.54728621203e-07,3.22980860924e-07,5.43810162398e-07,4.18427951958e-07,1.99412749394e-07,3.65369963447e-07,1.4162184296e-07,0.0,0.0,0.0,0.0,0.000595983074081,0.000252716704574,1.85895858166e-06,0.000324851109908,0.000441306266549,0.00010056315366,0.00114620478859,0.000269388488132,3.87534833569e-07,0.0,1.10402800477e-06,1.76169871446e-07,0.00127388535032,0.00207270408163,5.48675971723e-07,1.20948490155e-06,0.000387672029463,0.0,0.0,5.57545683899e-05,8.20524041354e-05,4.48334995909e-05,6.88041832943e-05,3.81847803951e-05,5.48132087652e-05,0.000144829583856,6.08485327898e-05,0.00016538219826,5.56247775009e-05,4.3522406615e-06,6.65349783376e-07,4.59160392163e-07,5.8907129325e-06,1.14382069741e-07,5.11709476376e-06,6.17732179929e-06,2.05885495783e-06,4.92859897592e-07,5.31635908484e-06,0.0,2.75248915622e-07,3.63346405864e-07,6.02334108669e-07,1.3618849194e-06,9.36779221886e-07,1.1328432852e-06,5.66616069111e-07,6.0991557103e-07,1.6235029544e-07,1.7140329842e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.09942055505e-05,0.0,0.0,0.0,1.0265622995e-05,1.47914115148e-05,0.0,0.0,5.27383973328e-06,9.33604825617e-07,2.72750828481e-06,5.39765417949e-06,3.5559727897e-06,0.0,4.79948549515e-06,0.0,0.000167954316426,7.50863493017e-05,0.0,0.0,3.32325279984e-05,0.0,2.28932487809e-05,1.47180030613e-05,8.5631101216e-05,0.0,0.00185070943862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.08772830964e-06,1.62600848394e-06,4.83263487115e-07,2.17784281151e-06,6.7647546764e-06,8.52850242568e-07,7.61826013153e-07,3.51947566382e-07,6.69746662822e-06,9.52431597553e-07,1.84963685463e-05,0.0,0.000978473581213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46634669929e-06,2.57371347013e-07,2.70047906499e-07,4.07895153325e-08,4.3986979854e-07,1.28051198128e-06,1.66444878866e-07,2.13748779533e-07,7.76000417799e-07,9.06056033223e-07
F#-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55498021288e-06,0.0,0.0,0.0,9.81611151103e-05,0.0,0.0,1.81807303431e-06,8.67276926076e-07,4.74764128549e-05,0.0,0.0,1.42660475202e-06,0.00196612220206,0.00591016548463,0.0106007067138,0.0378179384203,0.0304285199856,0.0368436321439,0.287748058671,0.00365615859604,0.0,0.0,1.92456272512e-06,4.28211241744e-07,1.25781714639e-06,5.82768449119e-07,1.26707876209e-06,4.35048129918e-07,1.92476857901e-06,1.14662330902e-06,4.17565672511e-07,1.93549852045e-06,0.0,0.0,0.0,0.0,0.000417188151856,0.00379075056861,2.60254201432e-06,0.00433134813211,6.30437523641e-05,0.000175985518906,0.0018466632705,0.000119728216948,9.30083600564e-07,2.1888499311e-06,4.2781085185e-06,1.76169871446e-07,0.0233545647558,0.00813137755102,3.65783981149e-07,5.14031083157e-06,0.000193836014732,0.0,0.0,4.18159262925e-05,0.000218806411028,1.12083748977e-05,2.29347277648e-05,5.09130405268e-05,0.0,0.000579318335425,9.12727991846e-05,4.96146594781e-05,1.11249555002e-05,1.96277520028e-06,4.23852454595e-06,8.26488705894e-07,1.79282567511e-06,6.86292418448e-07,8.52849127294e-07,1.60779608475e-06,4.21963342842e-06,8.21433162653e-07,1.49522599261e-06,1.32304970896e-06,5.7343524088e-07,4.44090051612e-07,1.59994997615e-06,7.36154010486e-07,3.42821332265e-06,2.98116654001e-07,7.55488092148e-07,6.56832153416e-07,0.0,8.57016492102e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000487953644404,0.0,0.0,0.0,0.0,8.87484690889e-06,0.0,0.0,0.0,0.0,2.72750828481e-06,5.39765417949e-06,0.0,2.11990163656e-05,7.99914249192e-06,0.000760263558033,8.3977158213e-05,0.0,3.40379182409e-05,0.0,0.0,0.0,0.0,0.0,4.2815550608e-05,0.0,0.00263585889743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.692021815e-06,1.05212313667e-06,1.09832610708e-06,8.37631850583e-07,1.86613922108e-06,9.09706925406e-07,1.46350786737e-06,2.05302747056e-06,5.9428225011e-06,7.14323698165e-07,1.23309123642e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.77357425669e-07,5.14742694025e-07,1.98035131432e-06,6.93421760652e-07,8.06427963989e-07,1.94016966861e-07,1.16511415206e-06,4.88568638932e-07,7.76000417799e-08,2.15188307891e-06
G-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000232831216398,3.03325355876e-06,1.29581684406e-05,1.80854555862e-06,0.00010095911156,1.31324937292e-05,1.96322230221e-05,9.30426552449e-05,0.0,7.7681302375e-06,2.16819231519e-07,0.00211917442834,0.000793650793651,0.00113921166553,1.23639078508e-05,0.0120992135511,0.00455927051672,0.0393740535083,0.00568942436412,0.0180050414116,0.0269799825936,0.0519844693701,0.406467338317,0.0,0.0,6.66820324477e-06,5.94737835756e-06,4.34246395777e-06,5.04221397281e-05,6.33539381044e-06,1.77282112942e-05,7.61538872563e-05,5.93252929448e-06,4.64541810668e-06,7.97803048675e-06,0.0,0.0,0.0,0.0,0.00870135288158,0.00277988375032,1.26409183553e-05,0.0273957769356,0.000945656285462,0.000678801287208,0.0024197656648,0.00475919662366,1.05409474731e-05,6.39817672168e-06,4.30570921862e-05,4.40424678616e-06,0.0144373673036,0.00749362244898,5.59649491158e-05,8.76876553621e-06,0.000193836014732,0.000102923013586,0.0,9.75704946824e-05,0.00361030578196,0.000134500498773,0.000236992186903,0.000148496368203,7.91746348831e-05,0.000482765279521,0.00167333465172,0.00367148480138,0.00124599501602,2.73935147518e-05,3.9551348234e-05,3.48961898044e-06,7.93965656119e-06,2.17325932508e-06,6.82279301835e-06,9.65523859313e-05,2.53585699756e-05,3.52121015724e-05,3.32272442802e-06,1.45535467986e-05,3.91770956569e-05,2.89062251776e-05,9.46793927064e-06,7.69280940958e-06,2.81233081294e-05,6.37969639561e-06,6.72384402012e-06,5.88803108955e-06,8.06339800684e-06,4.38030651519e-06,0.0,0.0,0.0344387755102,0.0,0.0,1.0,0.0,0.000365965233303,0.0,0.0,0.00258971513134,9.2390606955e-05,0.000118331292119,0.0,9.21807381588e-06,0.000143272646088,3.1742564071e-05,2.45475745633e-05,3.59843611966e-05,3.91157006867e-05,9.32756720088e-05,0.000433553523062,7.2406053146e-05,0.000419885791065,7.50863493017e-05,0.000204227509446,0.000351288056206,3.32325279984e-05,2.72643001254e-05,4.57864975619e-05,1.47180030613e-05,0.000128446651824,0.0,0.115977791487,8.32161372733e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21462994576e-05,5.13627385809e-05,2.17468569202e-05,2.68042192186e-06,4.99192241638e-06,1.41573140266e-05,8.64672524928e-05,1.20248751847e-05,1.70738233762e-05,7.38134488104e-06,0.000141805492188,0.000510551395507,0.000391389432485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.30477696349e-05,8.02998602679e-06,2.10637367069e-05,8.36185064315e-06,1.20964194598e-05,8.57554993527e-06,5.40945856313e-06,1.47181302478e-05,6.36320342595e-06,7.36170526994e-06
G#-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.92851691389e-08,0.0,0.0,0.0,0.0,1.69241693131e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A-9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.641509433962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.55488092148e-08,1.17291455967e-07,0.0,1.90448109356e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.04293505356e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02948538805e-07,0.0,4.07895153325e-08,0.0,1.94016966861e-07,1.24833659149e-07,0.0,0.0,0.0
B-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00267308146518,0.00594062709484,0.00633343440705,0.0043486477957,0.00432441527848,0.00751178641312,0.00216608860677,0.0199400035292,0.0,0.0147726698006,0.00246935422777,0.00580075444336,0.00595238095238,0.00205058099795,0.00634696454174,0.00287356321839,0.00692333671057,0.00706713780919,0.0016733601071,0.00540151242348,0.00406150275602,0.0110008628128,0.00446863828404,0.0,0.0,0.192728015347,0.00952008748451,0.0853952724823,0.0364362797177,0.0258594377852,0.0825662075277,0.0117718009436,0.0273029455556,0.0166038726189,0.0612328002042,0.0,0.0,0.0,0.0,0.0044102747482,0.00320107825794,0.00720606704594,0.00205739036275,0.00302610011348,0.0230289621883,0.00420275089149,0.00392109910503,0.00920247966488,0.017466517331,0.00921394172085,0.00587385585376,0.00668789808917,0.00207270408163,0.00263163285238,0.00759526281049,0.00911029269238,0.010189378345,0.0,0.00358223101905,0.0154532027788,0.00504376870398,0.00405944681437,0.0058889416876,0.00252749795973,0.00243796466158,0.00552200435067,0.00568914762015,0.00427198291207,0.00620808728239,0.00924160992075,0.00679171685672,0.00871851125805,0.013763594452,0.00884205546874,0.0091977782966,0.00969686031142,0.0172389796869,0.00217272950348,0.00706310087129,0.0147620351556,0.0244364588082,0.0632442343779,0.0398682608229,0.0505278980127,0.0112626683182,0.0392142893622,0.0349290202544,0.0348535237753,0.00937065641426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00195181457762,0.0,0.0,0.00406955234924,0.00536378801489,0.00668275972239,0.0,0.00596409375887,0.00865964484205,0.00452051456564,0.0071978943636,0.0130695199866,0.00345640555158,0.00529975409141,0.00329884636367,0.00213597856781,0.00562646960027,0.0086349301697,0.00565029442799,0.00210772833724,0.00252567212788,0.00351709471618,0.00297612234152,0.00999352407865,0.0153279671177,0.0,0.00314059783523,0.00260799374215,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.0,0.00490674240479,0.010662215867,0.0073590485157,0.0622300993121,0.0160061093666,0.00820163335604,0.00873861550011,0.0227056039555,0.0184451375292,0.00426086149025,0.00588184519773,0.000850918992512,0.00185909980431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00337173461664,0.008667237482,0.00761103019676,0.00880213267165,0.00657341426938,0.00280587337475,0.0369282098271,0.00613361283531,0.00683640848072,0.0100432913573
A#-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00403312919558,0.00361260498849,0.00179859377956,0.0117076196737,0.0027763755679,0.000538432242899,0.010640664878,0.000606381442803,0.0,0.00136950483293,0.00470064093933,0.00238245271781,0.000793650793651,0.00182273866484,0.0061648346684,0.00120992135511,0.00287065180682,0.0015143866734,0.00435073627845,0.00126035289881,0.000580214679431,0.00215703192407,0.00310367240819,0.0,0.0,0.00524500266281,0.185475036617,0.045102507755,0.0158929570913,0.00813280714617,0.0207987266141,0.025226728324,0.0103321229312,0.0656798963477,0.00794352196434,0.0,0.0,0.0,0.0,0.00208594075928,0.00227445034117,0.001402398354,0.00227395776936,0.00201740007565,0.00274034593725,0.00197401935813,0.000808165464396,0.00931098941828,0.00114476851397,0.00357235861645,0.00190765545296,0.000849256900212,0.00191326530612,0.00350293029547,0.00491897509459,0.00251986819151,0.00319061342116,0.0,0.0027877284195,0.00128548766479,0.00184938185812,0.0028668409706,0.00130676804019,0.00366030427421,0.00955875253452,0.00190151664968,0.00251380941355,0.00142399430402,0.011553150843,0.00225450077709,0.000928146816719,0.00450460256768,0.00508130906619,0.00773221447109,0.0032793962878,0.00285744606503,0.00227972345631,0.0249312320646,0.00435217201763,0.0185649200487,0.0366990770315,0.0352403852371,0.0473639649962,0.00678764313264,0.0304092700447,0.0129061919502,0.0187910999525,0.00837565174173,0.00282998272579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000792924672156,0.0,0.0,0.00110987791343,0.00539971769537,0.00314169580575,0.0,0.00418254735939,0.00292873899855,0.00146856039069,0.00388260804342,0.000764667675428,0.013400683458,0.00324768930722,0.00315326197032,0.00144812106292,0.00218340611354,0.000600690794414,0.002825147214,0.00183450429352,0.000996975839952,0.00117236490539,0.000915729951237,0.0041504768633,0.0021407775304,0.0,0.00112164208401,0.00574357779461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00916247941625,0.0104165929383,0.0294582923841,0.00171446487177,0.00427005311219,0.00163576676524,0.00419322068874,0.00735300587271,0.00217733696778,0.00528210627073,0.00669568541376,0.00170183798502,0.000587084148728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00710562440022,0.00156018510559,0.00753442660728,0.00567255710777,0.00552344506026,0.00381033801558,0.000778254642356,0.0212670264262,0.00457677286413,0.00283527584196
G-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133676460876,0.00166525620376,0.00538645145741,0.00761578534734,0.0022547534915,0.00207493400922,0.00308225901446,0.00243194250606,0.0,0.00580163633184,0.0041191317604,0.00486417429886,0.00198412698413,0.004329004329,0.00470827121658,0.00211736237145,0.00303951367781,0.00269224297493,0.00903614457831,0.0106229744328,0.000290107339716,0.036022433132,0.00333116672083,0.0,0.0,0.0627749261571,0.0576085429856,0.200261530133,0.0122812622967,0.0223672196488,0.0109608201092,0.0235839801846,0.0727220408619,0.028141995086,0.0704774492471,0.0,0.0,0.0,0.0,0.00673460873711,0.00219021143964,0.00604310255726,0.00757985923119,0.0042239314084,0.0073159694288,0.00222873153337,0.00290340926098,0.00783021881922,0.00702654502498,0.00302572675058,0.00458578983868,0.00955414012739,0.00127551020408,0.00700622637493,0.00428278603638,0.00523357239775,0.00833676410045,0.0,0.00340102867179,0.00235216891855,0.003945347964,0.0102212436738,0.00475612653588,0.00327052145633,0.00499662064304,0.00194715304927,0.00687989944762,0.00330411178355,0.00921505888923,0.00570702544561,0.00504745835897,0.0020924836808,0.0242596363176,0.00209346032446,0.00304626585551,0.00997890305594,0.00599881686243,0.00448900070226,0.00706927510327,0.0617308541786,0.0114025772807,0.0366016038539,0.0211178292526,0.0333887248894,0.011879233182,0.00447959109358,0.0358323521317,0.00159611987123,0.00526423332514,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00146386093321,0.0,0.0,0.00147983721791,0.00459899910176,0.00715016832626,0.0,0.0124308798098,0.00290676466633,0.0041657447319,0.0028461548952,0.00578628528042,0.00531084536141,0.00229797337404,0.00583297470511,0.00300485120556,0.00125965737319,0.00255293587626,0.00415262602539,0.00569867291179,0.00594862251171,0.00188123670865,0.00519676747327,0.00912516189803,0.00530912827539,0.0,0.00218720206382,0.00446482315184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0858602571269,0.0099171213911,0.0115736333199,0.0178218740689,0.00626467601864,0.012447576717,0.00637649375411,0.0757952519223,0.0094945236419,0.00577903745675,0.00729373466343,0.00391422736555,0.00352250489237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00479083868358,0.00702191393482,0.00522749735803,0.00933696479669,0.00266898331427,0.00862494665503,0.010568126305,0.00789563563162,0.0159263221747,0.00264137985085
F#-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00699948844295,0.0107604669997,0.0142342888687,0.025250460953,0.0104829210836,0.00565353855044,0.00775472809371,0.0120859200796,0.0,0.0187600345236,0.00782825835399,0.0113554947474,0.125925925926,0.015037593985,0.0168838672402,0.00499092558984,0.00303951367781,0.0353356890459,0.00301204819277,0.00936262153403,0.00232085871773,0.00323554788611,0.0196620084498,0.0,0.0,0.0332389872929,0.0228873199229,0.0126412420094,0.256418852407,0.0306436787441,0.0237410114978,0.0310044651702,0.0344504967322,0.0149092867284,0.0190442196738,0.0,0.0,0.0,0.0,0.0184158769891,0.00732878443265,0.00578954060672,0.00129940443963,0.00617828773169,0.00575724054706,0.0125445746307,0.00245442844742,0.0292839921916,0.0144605528833,0.0164098582525,0.014287816999,0.0380042462845,0.00271045918367,0.00511256270452,0.0158648134536,0.00969180073658,0.00668999588308,0.0,0.00869771266883,0.00607187790602,0.00701644268597,0.00456401082519,0.00490886565746,0.00949486582945,0.0133001834508,0.00459406422563,0.0041345549565,0.0062522249911,0.0299639822217,0.0229283971016,0.0102172370464,0.0122370597044,0.0086980701114,0.0280004582643,0.0211745898153,0.021171022069,0.0256206098676,0.00800394473844,0.00876983499586,0.0112214166043,0.0318866346295,0.0195716798389,0.0255583102439,0.0116047014119,0.0065958905931,0.0299457725757,0.00522160449504,0.00858129544929,0.0225629017253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00494053064959,0.0,0.0,0.0384757676656,0.00846913897087,0.00550240508351,0.0,0.00684718523043,0.0129956200761,0.00625608593646,0.0102622499216,0.00800292193013,0.00619983855884,0.00970490969219,0.00528423353017,0.0115487654768,0.0648303661404,0.0563898483256,0.0112325130195,0.0273224043716,0.0287793692466,0.00283548721304,0.0227101027907,0.0074620275521,0.0329251584175,0.0,0.00291626941843,0.00564593752687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00908168537459,0.0526968307182,0.0477391396416,0.0699607711875,0.0329310123787,0.0178060916477,0.0532853491205,0.00888039965289,0.0249055201275,0.010144745792,0.0118685031505,0.038291354663,0.00763209393346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00647575127705,0.00793203049212,0.0102116815523,0.00727028242334,0.012279405296,0.00499593689668,0.00850491719783,0.0262161656675,0.00475354575931,0.0147189935167
